Nome;Cognome;Età;Statura;Peso;Genere;Capigliatura;Fumatore;Regione
M;A;Adulto;Alto;Grasso;Maschio;Folta;Si;Lazio
M;A;Giovane;Alto;Grasso;Maschio;Corti;Si;Lazio
M;A;Vecchio;Alto;Grasso;Maschio;Pelata;Si;Lazio
M;A;Adulto;Basso;Grasso;Maschio;Corti;Si;Lazio
M;A;Giovane;Basso;Grasso;Maschio;Folta;Si;Lazio
M;A;Vecchio;Basso;Grasso;Maschio;Pelata;Si;Lazio
M;A;Adulto;Medio;Grasso;Maschio;Pelata;Si;Lazio
M;A;Giovane;Medio;Grasso;Maschio;Pelata;Si;Lazio
M;A;Vecchio;Medio;Grasso;Maschio;Folta;Si;Lazio
M;A;Adulto;Alto;Grasso;Maschio;Folta;No;Lazio
M;A;Giovane;Alto;Grasso;Maschio;Corti;No;Lazio
M;A;Vecchio;Alto;Grasso;Maschio;Pelata;No;Lazio
M;A;Adulto;Basso;Grasso;Maschio;Corti;No;Lazio
M;A;Giovane;Basso;Grasso;Maschio;Folta;No;Lazio
M;A;Vecchio;Basso;Grasso;Maschio;Pelata;No;Lazio
M;A;Adulto;Medio;Grasso;Maschio;Pelata;No;Lazio
M;A;Giovane;Medio;Grasso;Maschio;Pelata;No;Lazio
M;A;Vecchio;Medio;Grasso;Maschio;Folta;No;Lazio
M;A;Adulto;Alto;Grasso;Maschio;Folta;Si;Calabria
M;A;Giovane;Alto;Grasso;Maschio;Corti;Si;Calabria
M;A;Vecchio;Alto;Grasso;Maschio;Pelata;Si;Calabria
M;A;Adulto;Basso;Grasso;Maschio;Corti;Si;Calabria
M;A;Giovane;Basso;Grasso;Maschio;Folta;Si;Calabria
M;A;Vecchio;Basso;Grasso;Maschio;Pelata;Si;Calabria
M;A;Adulto;Medio;Grasso;Maschio;Pelata;Si;Calabria
M;A;Giovane;Medio;Grasso;Maschio;Pelata;Si;Calabria
M;A;Vecchio;Medio;Grasso;Maschio;Folta;Si;Calabria
M;A;Adulto;Alto;Grasso;Maschio;Folta;No;Calabria
M;A;Giovane;Alto;Grasso;Maschio;Corti;No;Calabria
M;A;Vecchio;Alto;Grasso;Maschio;Pelata;No;Calabria
M;A;Adulto;Basso;Grasso;Maschio;Corti;No;Calabria
M;A;Giovane;Basso;Grasso;Maschio;Folta;No;Calabria
M;A;Vecchio;Basso;Grasso;Maschio;Pelata;No;Calabria
M;A;Adulto;Medio;Grasso;Maschio;Pelata;No;Calabria
M;A;Giovane;Medio;Grasso;Maschio;Pelata;No;Calabria
M;A;Vecchio;Medio;Grasso;Maschio;Folta;No;Calabria
M;A;Adulto;Alto;Grasso;Maschio;Folta;Si;Sicilia
M;A;Giovane;Alto;Grasso;Maschio;Corti;Si;Sicilia
M;A;Vecchio;Alto;Grasso;Maschio;Pelata;Si;Sicilia
M;A;Adulto;Basso;Grasso;Maschio;Corti;Si;Sicilia
M;A;Giovane;Basso;Grasso;Maschio;Folta;Si;Sicilia
M;A;Vecchio;Basso;Grasso;Maschio;Pelata;Si;Sicilia
